evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,1.408239,7101.067361435097,1.408239,7101.067361435097,0.005647,177085.17797060387,1000.0,57.199999999999996,35.54022711527454,36.87315634218288,30.856219709208393,10000.0,14328.0
20000.0,2.628678,7608.387181693613,1.220439,8193.772896474136,0.003937,254000.508001016,1000.0,57.599999999999994,37.10738469069144,37.46312684365781,33.33333333333333,20000.0,14328.0
30000.0,3.8147269999999995,7864.258700557079,1.186049,8431.354859706471,0.004416,226449.27536231885,1000.0,56.2,34.96195719962225,32.61538461538463,30.586370839936617,30000.0,14328.0
40000.0,5.035703999999999,7943.2786359166475,1.220977,8190.162468252883,0.003829,261164.79498563593,1000.0,58.5,37.72284716136235,35.25741029641185,32.847896440129446,40000.0,14328.0
50000.0,6.245149,8006.214103138293,1.209445,8268.255274113333,0.004326,231160.4253351826,1000.0,56.599999999999994,35.01203924434274,31.974921630094038,33.33333333333333,50000.0,14328.0
60000.0,7.4640249999999995,8038.558284571663,1.218876,8204.280008794987,0.003905,256081.9462227913,1000.0,58.199999999999996,37.33246178479547,36.28048780487805,35.593220338983045,60000.0,14328.0
70000.0,8.658586999999999,8084.459970200682,1.194562,8371.269134628425,0.003215,311041.9906687403,1000.0,59.8,38.81930387934314,37.577639751552795,37.77089783281733,70000.0,14328.0
80000.0,9.832514,8136.2711509996325,1.173927,8518.417244002396,0.00356,280898.8764044944,1000.0,56.2,34.41150044923631,31.34796238244515,31.240188383045535,80000.0,14328.0
90000.0,11.040619,8151.716855730644,1.208105,8277.426217092057,0.003153,317158.2619727244,1000.0,55.400000000000006,33.026597150476924,33.13343328335832,30.421216848673954,90000.0,14328.0
100000.0,12.257838999999999,8158.044823398318,1.21722,8215.441744302592,0.003601,277700.638711469,1000.0,56.3,34.216963593530075,35.066864784546794,32.76923076923076,100000.0,14328.0
